wavelength_nm,PD1
1547.7,172.0
1547.7001,167.0
1547.7002,187.0
1547.7003,203.0
1547.7004,242.0
1547.7005,318.0
1547.7006,532.0
1547.7006999999999,980.0
1547.7007999999998,2022.0
1547.7008999999998,1752.0
1547.7009999999998,1005.0
1547.7010999999998,739.0
1547.7011999999997,505.0
1547.7012999999997,339.0
1547.7013999999997,267.0
1547.7014999999997,210.0
1547.7015999999996,181.0
1547.7016999999996,142.0
1547.7017999999996,146.0
1547.7018999999996,143.0
1547.7019999999995,126.0
1547.7020999999995,122.0
1547.7021999999995,129.0
1547.7022999999995,135.0
1547.7023999999994,140.0
1547.7024999999994,144.0
1547.7025999999994,144.0
1547.7026999999994,153.0
1547.7027999999993,137.0
1547.7028999999993,145.0
1547.7029999999993,145.0
1547.7030999999993,143.0
1547.7031999999992,147.0
1547.7032999999992,149.0
1547.7033999999992,161.0
1547.7034999999992,157.0
1547.7035999999991,160.0
1547.7036999999991,165.0
1547.703799999999,172.0
1547.703899999999,173.0
1547.703999999999,172.0
1547.704099999999,165.0
1547.704199999999,172.0
1547.704299999999,180.0
1547.704399999999,181.0
1547.704499999999,178.0
1547.704599999999,179.0
1547.7046999999989,189.0
1547.7047999999988,184.0
1547.7048999999988,183.0
1547.7049999999988,172.0
1547.7050999999988,185.0
1547.7051999999987,190.0
1547.7052999999987,191.0
1547.7053999999987,185.0
1547.7054999999987,188.0
1547.7055999999986,193.0
1547.7056999999986,191.0
1547.7057999999986,189.0
1547.7058999999986,186.0
1547.7059999999985,192.0
1547.7060999999985,194.0
1547.7061999999985,191.0
1547.7062999999985,190.0
1547.7063999999984,193.0
1547.7064999999984,201.0
1547.7065999999984,186.0
1547.7066999999984,190.0
1547.7067999999983,200.0
1547.7068999999983,196.0
1547.7069999999983,198.0
1547.7070999999983,205.0
1547.7071999999982,202.0
1547.7072999999982,198.0
1547.7073999999982,199.0
1547.7074999999982,203.0
1547.7075999999981,204.0
1547.707699999998,201.0
1547.707799999998,200.0
1547.707899999998,200.0
1547.707999999998,199.0
1547.708099999998,200.0
1547.708199999998,205.0
1547.708299999998,211.0
1547.708399999998,210.0
1547.708499999998,206.0
1547.708599999998,206.0
1547.7086999999979,207.0
1547.7087999999978,210.0
1547.7088999999978,209.0
1547.7089999999978,207.0
1547.7090999999978,217.0
1547.7091999999977,212.0
1547.7092999999977,216.0
1547.7093999999977,215.0
1547.7094999999977,214.0
1547.7095999999976,218.0
1547.7096999999976,215.0
1547.7097999999976,217.0
1547.7098999999976,216.0
1547.7099999999975,217.0
1547.7100999999975,222.0
1547.7101999999975,220.0
1547.7102999999975,223.0
1547.7103999999974,221.0
1547.7104999999974,222.0
1547.7105999999974,209.0
1547.7106999999974,216.0
1547.7107999999973,223.0
1547.7108999999973,223.0
1547.7109999999973,224.0
1547.7110999999973,225.0
