wavelength_nm,PD1
1547.7,288.0
1547.7001,294.0
1547.7002,293.0
1547.7003,286.0
1547.7004,284.0
1547.7005,299.0
1547.7006,290.0
1547.7006999999999,297.0
1547.7007999999998,293.0
1547.7008999999998,294.0
1547.7009999999998,298.0
1547.7010999999998,291.0
1547.7011999999997,297.0
1547.7012999999997,304.0
1547.7013999999997,300.0
1547.7014999999997,300.0
1547.7015999999996,304.0
1547.7016999999996,302.0
1547.7017999999996,310.0
1547.7018999999996,304.0
1547.7019999999995,300.0
1547.7020999999995,305.0
1547.7021999999995,307.0
1547.7022999999995,311.0
1547.7023999999994,317.0
1547.7024999999994,311.0
1547.7025999999994,313.0
1547.7026999999994,319.0
1547.7027999999993,323.0
1547.7028999999993,321.0
1547.7029999999993,324.0
1547.7030999999993,319.0
1547.7031999999992,321.0
1547.7032999999992,333.0
1547.7033999999992,328.0
1547.7034999999992,312.0
1547.7035999999991,318.0
1547.7036999999991,319.0
1547.703799999999,327.0
1547.703899999999,327.0
1547.703999999999,327.0
1547.704099999999,329.0
1547.704199999999,338.0
1547.704299999999,340.0
1547.704399999999,335.0
1547.704499999999,331.0
1547.704599999999,336.0
1547.7046999999989,340.0
1547.7047999999988,341.0
1547.7048999999988,341.0
1547.7049999999988,336.0
1547.7050999999988,339.0
1547.7051999999987,342.0
1547.7052999999987,337.0
1547.7053999999987,341.0
1547.7054999999987,335.0
1547.7055999999986,334.0
1547.7056999999986,343.0
1547.7057999999986,344.0
1547.7058999999986,356.0
1547.7059999999985,346.0
1547.7060999999985,340.0
1547.7061999999985,342.0
1547.7062999999985,357.0
1547.7063999999984,364.0
1547.7064999999984,350.0
1547.7065999999984,356.0
1547.7066999999984,357.0
1547.7067999999983,367.0
1547.7068999999983,362.0
1547.7069999999983,358.0
1547.7070999999983,354.0
1547.7071999999982,363.0
1547.7072999999982,357.0
1547.7073999999982,358.0
1547.7074999999982,367.0
1547.7075999999981,367.0
1547.707699999998,370.0
1547.707799999998,370.0
1547.707899999998,366.0
1547.707999999998,360.0
1547.708099999998,367.0
1547.708199999998,369.0
1547.708299999998,366.0
1547.708399999998,365.0
1547.708499999998,366.0
1547.708599999998,386.0
1547.7086999999979,383.0
1547.7087999999978,374.0
1547.7088999999978,374.0
1547.7089999999978,373.0
1547.7090999999978,383.0
1547.7091999999977,378.0
1547.7092999999977,373.0
1547.7093999999977,372.0
1547.7094999999977,388.0
1547.7095999999976,376.0
1547.7096999999976,382.0
1547.7097999999976,378.0
1547.7098999999976,387.0
1547.7099999999975,401.0
1547.7100999999975,395.0
1547.7101999999975,386.0
1547.7102999999975,399.0
1547.7103999999974,413.0
1547.7104999999974,406.0
1547.7105999999974,391.0
1547.7106999999974,391.0
1547.7107999999973,403.0
1547.7108999999973,408.0
1547.7109999999973,405.0
1547.7110999999973,403.0
1547.7111999999972,402.0
1547.7112999999972,410.0
1547.7113999999972,413.0
1547.7114999999972,407.0
1547.7115999999971,413.0
1547.711699999997,416.0
1547.711799999997,408.0
1547.711899999997,416.0
1547.711999999997,419.0
1547.712099999997,413.0
1547.712199999997,416.0
1547.712299999997,423.0
1547.712399999997,423.0
1547.712499999997,416.0
1547.7125999999969,416.0
1547.7126999999969,426.0
1547.7127999999968,437.0
1547.7128999999968,436.0
1547.7129999999968,413.0
1547.7130999999968,424.0
1547.7131999999967,413.0
1547.7132999999967,432.0
1547.7133999999967,425.0
1547.7134999999967,427.0
1547.7135999999966,428.0
1547.7136999999966,444.0
1547.7137999999966,439.0
1547.7138999999966,441.0
1547.7139999999965,440.0
1547.7140999999965,443.0
1547.7141999999965,447.0
1547.7142999999965,442.0
1547.7143999999964,449.0
1547.7144999999964,442.0
1547.7145999999964,461.0
1547.7146999999964,458.0
1547.7147999999963,453.0
1547.7148999999963,452.0
1547.7149999999963,464.0
1547.7150999999963,465.0
1547.7151999999962,455.0
1547.7152999999962,466.0
1547.7153999999962,462.0
1547.7154999999962,472.0
1547.7155999999961,459.0
1547.715699999996,460.0
1547.715799999996,467.0
1547.715899999996,479.0
1547.715999999996,479.0
1547.716099999996,472.0
1547.716199999996,478.0
1547.716299999996,494.0
1547.716399999996,498.0
1547.716499999996,478.0
1547.7165999999959,478.0
1547.7166999999959,495.0
1547.7167999999958,492.0
1547.7168999999958,490.0
1547.7169999999958,490.0
1547.7170999999958,504.0
1547.7171999999957,496.0
1547.7172999999957,495.0
1547.7173999999957,480.0
1547.7174999999957,501.0
1547.7175999999956,504.0
1547.7176999999956,502.0
1547.7177999999956,513.0
1547.7178999999956,493.0
1547.7179999999955,507.0
1547.7180999999955,513.0
1547.7181999999955,498.0
1547.7182999999955,516.0
1547.7183999999954,518.0
1547.7184999999954,502.0
1547.7185999999954,528.0
1547.7186999999954,524.0
1547.7187999999953,529.0
1547.7188999999953,522.0
1547.7189999999953,535.0
1547.7190999999953,542.0
1547.7191999999952,532.0
1547.7192999999952,521.0
1547.7193999999952,521.0
1547.7194999999952,537.0
1547.7195999999951,541.0
1547.719699999995,540.0
1547.719799999995,530.0
1547.719899999995,533.0
1547.719999999995,537.0
1547.720099999995,544.0
1547.720199999995,543.0
1547.720299999995,537.0
1547.720399999995,538.0
1547.720499999995,548.0
1547.7205999999949,568.0
1547.7206999999948,569.0
1547.7207999999948,544.0
1547.7208999999948,559.0
1547.7209999999948,567.0
1547.7210999999947,570.0
1547.7211999999947,566.0
1547.7212999999947,575.0
1547.7213999999947,589.0
1547.7214999999946,595.0
1547.7215999999946,577.0
1547.7216999999946,575.0
1547.7217999999946,573.0
1547.7218999999945,585.0
1547.7219999999945,586.0
1547.7220999999945,582.0
1547.7221999999945,577.0
1547.7222999999944,589.0
1547.7223999999944,597.0
1547.7224999999944,592.0
1547.7225999999944,595.0
1547.7226999999943,601.0
1547.7227999999943,603.0
1547.7228999999943,607.0
1547.7229999999943,608.0
1547.7230999999942,605.0
1547.7231999999942,604.0
1547.7232999999942,630.0
1547.7233999999942,609.0
1547.7234999999941,602.0
1547.7235999999941,614.0
1547.723699999994,622.0
1547.723799999994,623.0
1547.723899999994,620.0
1547.723999999994,610.0
1547.724099999994,629.0
1547.724199999994,646.0
1547.724299999994,636.0
1547.724399999994,657.0
1547.724499999994,646.0
1547.7245999999939,646.0
1547.7246999999938,649.0
1547.7247999999938,641.0
1547.7248999999938,664.0
1547.7249999999938,650.0
1547.7250999999937,648.0
1547.7251999999937,679.0
1547.7252999999937,673.0
1547.7253999999937,664.0
1547.7254999999936,655.0
1547.7255999999936,663.0
1547.7256999999936,676.0
1547.7257999999936,668.0
1547.7258999999935,666.0
1547.7259999999935,691.0
1547.7260999999935,685.0
1547.7261999999935,686.0
1547.7262999999934,692.0
1547.7263999999934,686.0
1547.7264999999934,697.0
1547.7265999999934,678.0
1547.7266999999933,675.0
1547.7267999999933,685.0
1547.7268999999933,699.0
1547.7269999999933,721.0
1547.7270999999932,698.0
1547.7271999999932,712.0
1547.7272999999932,701.0
1547.7273999999932,726.0
1547.7274999999931,736.0
1547.7275999999931,716.0
1547.727699999993,734.0
1547.727799999993,719.0
1547.727899999993,723.0
1547.727999999993,736.0
1547.728099999993,718.0
1547.728199999993,718.0
1547.728299999993,742.0
1547.728399999993,738.0
1547.728499999993,736.0
1547.7285999999929,726.0
1547.7286999999928,763.0
1547.7287999999928,748.0
1547.7288999999928,734.0
1547.7289999999928,725.0
1547.7290999999927,739.0
1547.7291999999927,745.0
1547.7292999999927,774.0
1547.7293999999927,741.0
1547.7294999999926,768.0
1547.7295999999926,788.0
1547.7296999999926,775.0
1547.7297999999926,781.0
1547.7298999999925,779.0
1547.7299999999925,775.0
1547.7300999999925,826.0
1547.7301999999925,827.0
1547.7302999999924,801.0
1547.7303999999924,808.0
1547.7304999999924,804.0
1547.7305999999924,816.0
1547.7306999999923,828.0
1547.7307999999923,815.0
1547.7308999999923,811.0
1547.7309999999923,840.0
1547.7310999999922,825.0
1547.7311999999922,845.0
1547.7312999999922,852.0
1547.7313999999922,829.0
1547.7314999999921,836.0
1547.731599999992,835.0
1547.731699999992,836.0
1547.731799999992,859.0
1547.731899999992,870.0
1547.731999999992,874.0
1547.732099999992,876.0
1547.732199999992,866.0
1547.732299999992,887.0
1547.732399999992,890.0
1547.732499999992,901.0
1547.7325999999919,861.0
1547.7326999999918,869.0
1547.7327999999918,901.0
1547.7328999999918,897.0
1547.7329999999918,889.0
1547.7330999999917,886.0
1547.7331999999917,896.0
1547.7332999999917,903.0
1547.7333999999917,896.0
1547.7334999999916,910.0
1547.7335999999916,882.0
1547.7336999999916,903.0
1547.7337999999916,913.0
1547.7338999999915,914.0
1547.7339999999915,895.0
1547.7340999999915,914.0
1547.7341999999915,941.0
1547.7342999999914,913.0
1547.7343999999914,895.0
1547.7344999999914,928.0
1547.7345999999914,949.0
1547.7346999999913,959.0
1547.7347999999913,935.0
1547.7348999999913,919.0
1547.7349999999913,940.0
1547.7350999999912,937.0
1547.7351999999912,962.0
1547.7352999999912,948.0
1547.7353999999912,947.0
1547.7354999999911,959.0
1547.735599999991,970.0
1547.735699999991,963.0
1547.735799999991,968.0
1547.735899999991,1014.0
1547.735999999991,1024.0
1547.736099999991,1027.0
1547.736199999991,1002.0
1547.736299999991,1042.0
1547.736399999991,1035.0
1547.7364999999909,1018.0
1547.7365999999909,1000.0
1547.7366999999908,996.0
1547.7367999999908,1019.0
1547.7368999999908,1025.0
1547.7369999999908,1014.0
1547.7370999999907,1015.0
1547.7371999999907,1029.0
1547.7372999999907,1034.0
1547.7373999999907,1070.0
1547.7374999999906,1016.0
1547.7375999999906,1024.0
1547.7376999999906,1071.0
1547.7377999999906,1077.0
1547.7378999999905,1082.0
1547.7379999999905,1066.0
1547.7380999999905,1068.0
1547.7381999999905,1054.0
1547.7382999999904,1083.0
1547.7383999999904,1110.0
1547.7384999999904,1103.0
1547.7385999999904,1107.0
1547.7386999999903,1089.0
1547.7387999999903,1113.0
1547.7388999999903,1131.0
1547.7389999999903,1093.0
1547.7390999999902,1126.0
1547.7391999999902,1127.0
1547.7392999999902,1142.0
1547.7393999999902,1138.0
1547.7394999999901,1131.0
1547.73959999999,1120.0
1547.73969999999,1174.0
1547.73979999999,1147.0
1547.73989999999,1150.0
1547.73999999999,1141.0
1547.74009999999,1186.0
1547.74019999999,1183.0
1547.74029999999,1150.0
1547.74039999999,1158.0
1547.7404999999899,1205.0
1547.7405999999899,1193.0
1547.7406999999898,1182.0
1547.7407999999898,1182.0
1547.7408999999898,1189.0
1547.7409999999898,1221.0
1547.7410999999897,1205.0
1547.7411999999897,1207.0
1547.7412999999897,1222.0
1547.7413999999897,1287.0
1547.7414999999896,1214.0
1547.7415999999896,1218.0
1547.7416999999896,1211.0
1547.7417999999896,1229.0
1547.7418999999895,1252.0
1547.7419999999895,1223.0
1547.7420999999895,1243.0
1547.7421999999895,1247.0
1547.7422999999894,1276.0
1547.7423999999894,1268.0
1547.7424999999894,1245.0
1547.7425999999894,1286.0
1547.7426999999893,1284.0
1547.7427999999893,1331.0
1547.7428999999893,1316.0
1547.7429999999893,1293.0
1547.7430999999892,1323.0
1547.7431999999892,1349.0
1547.7432999999892,1356.0
1547.7433999999892,1342.0
1547.7434999999891,1316.0
1547.743599999989,1356.0
1547.743699999989,1378.0
1547.743799999989,1350.0
1547.743899999989,1327.0
1547.743999999989,1358.0
1547.744099999989,1395.0
1547.744199999989,1395.0
1547.744299999989,1365.0
1547.744399999989,1364.0
1547.7444999999889,1388.0
1547.7445999999888,1409.0
1547.7446999999888,1389.0
1547.7447999999888,1416.0
1547.7448999999888,1422.0
1547.7449999999887,1402.0
1547.7450999999887,1395.0
1547.7451999999887,1447.0
1547.7452999999887,1424.0
1547.7453999999886,1430.0
1547.7454999999886,1408.0
1547.7455999999886,1396.0
1547.7456999999886,1451.0
1547.7457999999885,1454.0
1547.7458999999885,1405.0
1547.7459999999885,1414.0
1547.7460999999885,1454.0
1547.7461999999884,1484.0
1547.7462999999884,1482.0
1547.7463999999884,1436.0
1547.7464999999884,1468.0
1547.7465999999883,1529.0
1547.7466999999883,1514.0
1547.7467999999883,1480.0
1547.7468999999883,1474.0
1547.7469999999882,1515.0
