wavelength_nm,PD1
1547.0,1076.0
1547.01,73.0
1547.02,74.0
1547.03,70.0
1547.04,78.0
1547.05,69.0
1547.06,67.0
1547.07,67.0
1547.08,64.0
1547.09,70.0
1547.1,69.0
1547.11,70.0
1547.12,72.0
1547.1299999999999,76.0
1547.1399999999999,84.0
1547.1499999999999,104.0
1547.1599999999999,124.0
1547.1699999999998,111.0
1547.1799999999998,115.0
1547.1899999999998,130.0
1547.1999999999998,151.0
1547.2099999999998,181.0
1547.2199999999998,238.0
1547.2299999999998,324.0
1547.2399999999998,470.0
1547.2499999999998,710.0
1547.2599999999998,1012.0
1547.2699999999998,1148.0
1547.2799999999997,1023.0
1547.2899999999997,774.0
1547.2999999999997,594.0
1547.3099999999997,460.0
1547.3199999999997,367.0
1547.3299999999997,313.0
1547.3399999999997,270.0
1547.3499999999997,238.0
1547.3599999999997,217.0
1547.3699999999997,193.0
1547.3799999999997,174.0
1547.3899999999996,158.0
1547.3999999999996,148.0
1547.4099999999996,139.0
1547.4199999999996,136.0
1547.4299999999996,130.0
1547.4399999999996,119.0
1547.4499999999996,107.0
1547.4599999999996,105.0
1547.4699999999996,95.0
1547.4799999999996,88.0
1547.4899999999996,72.0
1547.4999999999995,70.0
1547.5099999999995,79.0
1547.5199999999995,80.0
1547.5299999999995,80.0
1547.5399999999995,66.0
1547.5499999999995,69.0
1547.5599999999995,71.0
1547.5699999999995,69.0
1547.5799999999995,71.0
1547.5899999999995,71.0
1547.5999999999995,72.0
1547.6099999999994,82.0
1547.6199999999994,87.0
1547.6299999999994,94.0
1547.6399999999994,111.0
1547.6499999999994,126.0
1547.6599999999994,140.0
1547.6699999999994,164.0
1547.6799999999994,194.0
1547.6899999999994,228.0
1547.6999999999994,273.0
1547.7099999999994,348.0
1547.7199999999993,424.0
1547.7299999999993,533.0
1547.7399999999993,727.0
1547.7499999999993,1028.0
1547.7599999999993,1462.0
1547.7699999999993,2025.0
1547.7799999999993,1767.0
1547.7899999999993,4095.0
1547.7999999999993,4095.0
1547.8099999999993,4095.0
1547.8199999999993,3126.0
1547.8299999999992,2289.0
1547.8399999999992,1629.0
1547.8499999999992,1224.0
1547.8599999999992,957.0
1547.8699999999992,750.0
1547.8799999999992,606.0
1547.8899999999992,519.0
1547.8999999999992,440.0
1547.9099999999992,385.0
1547.9199999999992,345.0
1547.9299999999992,301.0
1547.9399999999991,271.0
1547.9499999999991,247.0
1547.9599999999991,222.0
1547.9699999999991,212.0
1547.979999999999,192.0
1547.989999999999,186.0
1547.999999999999,171.0
