wavelength_nm,PD3
1550.0,580.0
1550.01,583.0
1550.02,582.0
1550.03,583.0
1550.04,609.0
1550.05,613.0
1550.06,706.0
1550.07,811.0
1550.08,615.0
1550.09,621.0
1550.1,606.0
1550.11,604.0
1550.12,817.0
1550.1299999999999,605.0
1550.1399999999999,622.0
1550.1499999999999,636.0
1550.1599999999999,705.0
1550.1699999999998,711.0
1550.1799999999998,620.0
1550.1899999999998,738.0
1550.1999999999998,697.0
1550.2099999999998,610.0
1550.2199999999998,610.0
1550.2299999999998,614.0
1550.2399999999998,610.0
1550.2499999999998,602.0
1550.2599999999998,598.0
1550.2699999999998,590.0
1550.2799999999997,588.0
1550.2899999999997,593.0
1550.2999999999997,597.0
1550.3099999999997,612.0
1550.3199999999997,625.0
1550.3299999999997,633.0
1550.3399999999997,664.0
1550.3499999999997,679.0
1550.3599999999997,700.0
1550.3699999999997,719.0
1550.3799999999997,744.0
1550.3899999999996,768.0
1550.3999999999996,804.0
1550.4099999999996,848.0
1550.4199999999996,912.0
1550.4299999999996,993.0
1550.4399999999996,1051.0
1550.4499999999996,1096.0
1550.4599999999996,1130.0
1550.4699999999996,1139.0
1550.4799999999996,1129.0
1550.4899999999996,1097.0
1550.4999999999995,1053.0
1550.5099999999995,1001.0
1550.5199999999995,943.0
1550.5299999999995,888.0
1550.5399999999995,830.0
1550.5499999999995,780.0
1550.5599999999995,743.0
1550.5699999999995,715.0
1550.5799999999995,690.0
1550.5899999999995,675.0
1550.5999999999995,662.0
1550.6099999999994,645.0
1550.6199999999994,637.0
1550.6299999999994,631.0
1550.6399999999994,621.0
1550.6499999999994,618.0
1550.6599999999994,615.0
1550.6699999999994,613.0
1550.6799999999994,609.0
1550.6899999999994,607.0
1550.6999999999994,609.0
1550.7099999999994,608.0
1550.7199999999993,606.0
1550.7299999999993,601.0
1550.7399999999993,598.0
1550.7499999999993,600.0
1550.7599999999993,599.0
1550.7699999999993,598.0
1550.7799999999993,596.0
1550.7899999999993,594.0
1550.7999999999993,596.0
1550.8099999999993,596.0
1550.8199999999993,596.0
1550.8299999999992,591.0
1550.8399999999992,590.0
1550.8499999999992,595.0
1550.8599999999992,591.0
1550.8699999999992,591.0
1550.8799999999992,593.0
1550.8899999999992,592.0
1550.8999999999992,593.0
1550.9099999999992,596.0
1550.9199999999992,594.0
1550.9299999999992,596.0
1550.9399999999991,593.0
1550.9499999999991,586.0
1550.9599999999991,595.0
1550.9699999999991,586.0
1550.979999999999,598.0
1550.989999999999,601.0
1550.999999999999,606.0
1551.009999999999,607.0
1551.019999999999,606.0
1551.029999999999,606.0
1551.039999999999,610.0
1551.049999999999,613.0
1551.059999999999,611.0
1551.069999999999,603.0
1551.079999999999,594.0
1551.089999999999,593.0
1551.099999999999,591.0
1551.109999999999,591.0
1551.119999999999,594.0
1551.129999999999,594.0
1551.139999999999,598.0
1551.149999999999,604.0
1551.159999999999,603.0
1551.169999999999,606.0
1551.179999999999,612.0
1551.189999999999,617.0
1551.199999999999,622.0
1551.209999999999,625.0
1551.219999999999,637.0
1551.2299999999989,647.0
1551.2399999999989,660.0
1551.2499999999989,661.0
1551.2599999999989,659.0
1551.2699999999988,650.0
1551.2799999999988,639.0
1551.2899999999988,629.0
1551.2999999999988,624.0
1551.3099999999988,631.0
1551.3199999999988,612.0
1551.3299999999988,610.0
1551.3399999999988,606.0
1551.3499999999988,603.0
1551.3599999999988,601.0
1551.3699999999988,601.0
1551.3799999999987,594.0
1551.3899999999987,597.0
1551.3999999999987,595.0
1551.4099999999987,593.0
