wavelength_nm,PD1
1547.6,592.0
1547.61,591.0
1547.62,593.0
1547.6299999999999,594.0
1547.6399999999999,622.0
1547.6499999999999,627.0
1547.6599999999999,686.0
1547.6699999999998,963.0
1547.6799999999998,635.0
1547.6899999999998,628.0
1547.6999999999998,625.0
1547.7099999999998,617.0
1547.7199999999998,760.0
1547.7299999999998,626.0
1547.7399999999998,641.0
1547.7499999999998,644.0
1547.7599999999998,877.0
1547.7699999999998,704.0
1547.7799999999997,638.0
1547.7899999999997,659.0
1547.7999999999997,669.0
1547.8099999999997,852.0
1547.8199999999997,637.0
1547.8299999999997,626.0
1547.8399999999997,656.0
1547.8499999999997,981.0
1547.8599999999997,710.0
1547.8699999999997,641.0
1547.8799999999997,630.0
1547.8899999999996,637.0
1547.8999999999996,658.0
