wavelength_nm,PD4
1554.5,520.0
1554.501,525.0
1554.502,522.0
1554.503,523.0
1554.504,527.0
1554.5049999999999,527.0
1554.5059999999999,528.0
1554.5069999999998,534.0
1554.5079999999998,533.0
1554.5089999999998,533.0
1554.5099999999998,539.0
1554.5109999999997,537.0
1554.5119999999997,535.0
1554.5129999999997,540.0
1554.5139999999997,540.0
1554.5149999999996,542.0
1554.5159999999996,542.0
1554.5169999999996,544.0
1554.5179999999996,547.0
1554.5189999999996,546.0
1554.5199999999995,547.0
1554.5209999999995,553.0
1554.5219999999995,548.0
1554.5229999999995,557.0
1554.5239999999994,558.0
1554.5249999999994,558.0
1554.5259999999994,560.0
1554.5269999999994,562.0
1554.5279999999993,563.0
1554.5289999999993,568.0
1554.5299999999993,568.0
1554.5309999999993,567.0
1554.5319999999992,574.0
1554.5329999999992,573.0
1554.5339999999992,575.0
1554.5349999999992,581.0
1554.5359999999991,586.0
1554.5369999999991,587.0
1554.537999999999,587.0
1554.538999999999,600.0
1554.539999999999,600.0
1554.540999999999,609.0
1554.541999999999,606.0
1554.542999999999,618.0
1554.543999999999,627.0
1554.544999999999,636.0
1554.545999999999,650.0
1554.546999999999,671.0
1554.5479999999989,709.0
1554.5489999999988,743.0
1554.5499999999988,860.0
1554.5509999999988,950.0
1554.5519999999988,1052.0
1554.5529999999987,1074.0
1554.5539999999987,1091.0
1554.5549999999987,1101.0
1554.5559999999987,1110.0
1554.5569999999987,1110.0
1554.5579999999986,1111.0
1554.5589999999986,1112.0
1554.5599999999986,1117.0
1554.5609999999986,1117.0
1554.5619999999985,1115.0
1554.5629999999985,1116.0
1554.5639999999985,1114.0
1554.5649999999985,1110.0
1554.5659999999984,1103.0
1554.5669999999984,1107.0
1554.5679999999984,1104.0
1554.5689999999984,1096.0
1554.5699999999983,1085.0
1554.5709999999983,1082.0
1554.5719999999983,1070.0
1554.5729999999983,1047.0
1554.5739999999983,1023.0
1554.5749999999982,980.0
1554.5759999999982,913.0
1554.5769999999982,837.0
1554.5779999999982,739.0
1554.5789999999981,687.0
1554.579999999998,655.0
1554.580999999998,640.0
1554.581999999998,637.0
1554.582999999998,627.0
1554.583999999998,624.0
1554.584999999998,617.0
1554.585999999998,613.0
1554.586999999998,608.0
1554.587999999998,602.0
1554.588999999998,597.0
1554.5899999999979,595.0
1554.5909999999978,590.0
1554.5919999999978,585.0
1554.5929999999978,585.0
1554.5939999999978,581.0
1554.5949999999978,574.0
1554.5959999999977,574.0
1554.5969999999977,574.0
1554.5979999999977,584.0
1554.5989999999977,570.0
1554.5999999999976,569.0
