wavelength_nm,PD3
1550.0,590.0
1550.01,591.0
1550.02,590.0
1550.03,587.0
1550.04,584.0
1550.05,585.0
1550.06,600.0
1550.07,585.0
1550.08,591.0
1550.09,627.0
1550.1,606.0
1550.11,932.0
1550.12,609.0
1550.1299999999999,653.0
1550.1399999999999,665.0
1550.1499999999999,720.0
1550.1599999999999,615.0
1550.1699999999998,674.0
1550.1799999999998,637.0
1550.1899999999998,775.0
1550.1999999999998,666.0
1550.2099999999998,614.0
1550.2199999999998,621.0
1550.2299999999998,618.0
1550.2399999999998,610.0
1550.2499999999998,605.0
1550.2599999999998,600.0
1550.2699999999998,595.0
1550.2799999999997,594.0
1550.2899999999997,595.0
1550.2999999999997,586.0
1550.3099999999997,595.0
1550.3199999999997,613.0
1550.3299999999997,632.0
1550.3399999999997,660.0
1550.3499999999997,698.0
1550.3599999999997,735.0
1550.3699999999997,773.0
1550.3799999999997,802.0
1550.3899999999996,830.0
1550.3999999999996,848.0
1550.4099999999996,874.0
1550.4199999999996,897.0
1550.4299999999996,937.0
1550.4399999999996,990.0
1550.4499999999996,1038.0
1550.4599999999996,1076.0
1550.4699999999996,1117.0
1550.4799999999996,1109.0
1550.4899999999996,1078.0
1550.4999999999995,1028.0
1550.5099999999995,959.0
1550.5199999999995,885.0
1550.5299999999995,817.0
1550.5399999999995,767.0
1550.5499999999995,726.0
1550.5599999999995,697.0
1550.5699999999995,676.0
1550.5799999999995,655.0
1550.5899999999995,643.0
1550.5999999999995,637.0
1550.6099999999994,629.0
1550.6199999999994,623.0
1550.6299999999994,617.0
1550.6399999999994,614.0
1550.6499999999994,612.0
1550.6599999999994,611.0
1550.6699999999994,610.0
1550.6799999999994,608.0
1550.6899999999994,607.0
1550.6999999999994,613.0
1550.7099999999994,604.0
1550.7199999999993,605.0
1550.7299999999993,607.0
1550.7399999999993,604.0
1550.7499999999993,604.0
1550.7599999999993,606.0
1550.7699999999993,607.0
1550.7799999999993,603.0
1550.7899999999993,607.0
1550.7999999999993,606.0
1550.8099999999993,605.0
1550.8199999999993,606.0
1550.8299999999992,607.0
1550.8399999999992,608.0
1550.8499999999992,608.0
1550.8599999999992,607.0
1550.8699999999992,608.0
1550.8799999999992,611.0
1550.8899999999992,609.0
1550.8999999999992,616.0
1550.9099999999992,612.0
1550.9199999999992,612.0
1550.9299999999992,618.0
1550.9399999999991,617.0
1550.9499999999991,593.0
1550.9599999999991,626.0
1550.9699999999991,631.0
1550.979999999999,640.0
1550.989999999999,647.0
1550.999999999999,662.0
1551.009999999999,676.0
1551.019999999999,703.0
1551.029999999999,746.0
1551.039999999999,801.0
1551.049999999999,874.0
1551.059999999999,919.0
1551.069999999999,899.0
1551.079999999999,834.0
1551.089999999999,768.0
1551.099999999999,719.0
1551.109999999999,681.0
1551.119999999999,657.0
1551.129999999999,643.0
1551.139999999999,633.0
1551.149999999999,625.0
1551.159999999999,626.0
1551.169999999999,628.0
1551.179999999999,633.0
1551.189999999999,635.0
1551.199999999999,638.0
1551.209999999999,645.0
1551.219999999999,654.0
1551.2299999999989,665.0
1551.2399999999989,678.0
1551.2499999999989,684.0
1551.2599999999989,667.0
1551.2699999999988,671.0
1551.2799999999988,662.0
1551.2899999999988,651.0
1551.2999999999988,638.0
1551.3099999999988,631.0
1551.3199999999988,624.0
1551.3299999999988,623.0
1551.3399999999988,616.0
1551.3499999999988,612.0
1551.3599999999988,611.0
1551.3699999999988,607.0
1551.3799999999987,602.0
1551.3899999999987,604.0
1551.3999999999987,605.0
1551.4099999999987,605.0
1551.4199999999987,602.0
1551.4299999999987,602.0
1551.4399999999987,598.0
1551.4499999999987,602.0
1551.4599999999987,600.0
1551.4699999999987,602.0
1551.4799999999987,596.0
1551.4899999999986,598.0
1551.4999999999986,594.0
1551.5099999999986,595.0
1551.5199999999986,593.0
1551.5299999999986,595.0
1551.5399999999986,593.0
1551.5499999999986,594.0
1551.5599999999986,588.0
1551.5699999999986,593.0
1551.5799999999986,592.0
1551.5899999999986,589.0
1551.5999999999985,589.0
1551.6099999999985,592.0
1551.6199999999985,599.0
1551.6299999999985,601.0
1551.6399999999985,603.0
1551.6499999999985,604.0
1551.6599999999985,609.0
1551.6699999999985,618.0
1551.6799999999985,619.0
1551.6899999999985,624.0
1551.6999999999985,633.0
1551.7099999999984,639.0
1551.7199999999984,649.0
1551.7299999999984,661.0
1551.7399999999984,677.0
1551.7499999999984,698.0
1551.7599999999984,741.0
1551.7699999999984,794.0
1551.7799999999984,888.0
1551.7899999999984,992.0
1551.7999999999984,1062.0
1551.8099999999984,1102.0
1551.8199999999983,1137.0
1551.8299999999983,1146.0
1551.8399999999983,1137.0
1551.8499999999983,1110.0
1551.8599999999983,1075.0
1551.8699999999983,1042.0
1551.8799999999983,1004.0
1551.8899999999983,951.0
1551.8999999999983,914.0
1551.9099999999983,868.0
1551.9199999999983,824.0
1551.9299999999982,786.0
1551.9399999999982,757.0
1551.9499999999982,735.0
1551.9599999999982,707.0
1551.9699999999982,693.0
1551.9799999999982,679.0
1551.9899999999982,669.0
1551.9999999999982,662.0
1552.0099999999982,650.0
1552.0199999999982,658.0
1552.0299999999982,641.0
1552.0399999999981,637.0
1552.0499999999981,630.0
1552.0599999999981,625.0
1552.0699999999981,626.0
1552.079999999998,621.0
1552.089999999998,619.0
1552.099999999998,618.0
1552.109999999998,617.0
1552.119999999998,616.0
1552.129999999998,614.0
1552.139999999998,610.0
1552.149999999998,610.0
1552.159999999998,608.0
1552.169999999998,605.0
1552.179999999998,604.0
1552.189999999998,602.0
1552.199999999998,603.0
1552.209999999998,605.0
1552.219999999998,604.0
1552.229999999998,597.0
1552.239999999998,605.0
1552.249999999998,601.0
1552.259999999998,608.0
1552.269999999998,609.0
1552.279999999998,618.0
1552.289999999998,627.0
1552.299999999998,649.0
1552.309999999998,684.0
1552.319999999998,739.0
1552.3299999999979,834.0
1552.3399999999979,939.0
1552.3499999999979,962.0
1552.3599999999979,931.0
1552.3699999999978,874.0
1552.3799999999978,823.0
1552.3899999999978,770.0
1552.3999999999978,732.0
1552.4099999999978,702.0
1552.4199999999978,679.0
1552.4299999999978,662.0
1552.4399999999978,650.0
1552.4499999999978,638.0
1552.4599999999978,629.0
1552.4699999999978,623.0
1552.4799999999977,620.0
1552.4899999999977,614.0
1552.4999999999977,614.0
1552.5099999999977,609.0
1552.5199999999977,609.0
1552.5299999999977,609.0
1552.5399999999977,609.0
1552.5499999999977,603.0
1552.5599999999977,589.0
1552.5699999999977,613.0
1552.5799999999977,611.0
1552.5899999999976,611.0
1552.5999999999976,613.0
1552.6099999999976,609.0
1552.6199999999976,606.0
1552.6299999999976,607.0
1552.6399999999976,604.0
1552.6499999999976,597.0
1552.6599999999976,596.0
1552.6699999999976,595.0
1552.6799999999976,596.0
1552.6899999999976,593.0
1552.6999999999975,588.0
1552.7099999999975,590.0
1552.7199999999975,594.0
1552.7299999999975,587.0
1552.7399999999975,591.0
1552.7499999999975,589.0
1552.7599999999975,589.0
1552.7699999999975,591.0
1552.7799999999975,586.0
1552.7899999999975,586.0
1552.7999999999975,586.0
1552.8099999999974,585.0
1552.8199999999974,587.0
1552.8299999999974,589.0
1552.8399999999974,587.0
1552.8499999999974,589.0
1552.8599999999974,588.0
1552.8699999999974,585.0
1552.8799999999974,587.0
1552.8899999999974,581.0
1552.8999999999974,584.0
1552.9099999999974,583.0
1552.9199999999973,582.0
1552.9299999999973,580.0
1552.9399999999973,584.0
1552.9499999999973,585.0
1552.9599999999973,583.0
1552.9699999999973,586.0
1552.9799999999973,587.0
1552.9899999999973,592.0
1552.9999999999973,592.0
1553.0099999999973,598.0
1553.0199999999973,596.0
1553.0299999999972,602.0
1553.0399999999972,616.0
