wavelength_nm,PD1
1547.6,67.0
1547.61,74.0
1547.62,82.0
1547.6299999999999,87.0
1547.6399999999999,101.0
1547.6499999999999,121.0
1547.6599999999999,139.0
1547.6699999999998,158.0
1547.6799999999998,190.0
1547.6899999999998,230.0
1547.6999999999998,282.0
1547.7099999999998,355.0
1547.7199999999998,459.0
1547.7299999999998,649.0
1547.7399999999998,907.0
1547.7499999999998,1269.0
1547.7599999999998,1716.0
1547.7699999999998,2171.0
1547.7799999999997,3508.0
1547.7899999999997,3591.0
1547.7999999999997,2999.0
1547.8099999999997,2243.0
1547.8199999999997,1633.0
1547.8299999999997,1187.0
1547.8399999999997,879.0
1547.8499999999997,692.0
1547.8599999999997,548.0
1547.8699999999997,454.0
1547.8799999999997,382.0
1547.8899999999996,332.0
1547.8999999999996,290.0
