wavelength_nm,PD3
1550.0,687.0
1550.01,686.0
1550.02,687.0
1550.03,675.0
1550.04,650.0
1550.05,625.0
1550.06,610.0
1550.07,596.0
1550.08,647.0
1550.09,621.0
1550.1,607.0
1550.11,1019.0
1550.12,620.0
1550.1299999999999,642.0
1550.1399999999999,833.0
1550.1499999999999,680.0
1550.1599999999999,663.0
1550.1699999999998,641.0
1550.1799999999998,627.0
1550.1899999999998,620.0
1550.1999999999998,614.0
1550.2099999999998,614.0
1550.2199999999998,613.0
1550.2299999999998,607.0
1550.2399999999998,606.0
1550.2499999999998,606.0
1550.2599999999998,601.0
1550.2699999999998,605.0
1550.2799999999997,605.0
1550.2899999999997,596.0
1550.2999999999997,602.0
1550.3099999999997,619.0
1550.3199999999997,643.0
1550.3299999999997,669.0
1550.3399999999997,703.0
1550.3499999999997,738.0
1550.3599999999997,756.0
1550.3699999999997,782.0
1550.3799999999997,790.0
1550.3899999999996,803.0
1550.3999999999996,815.0
1550.4099999999996,825.0
1550.4199999999996,851.0
1550.4299999999996,901.0
1550.4399999999996,974.0
1550.4499999999996,1031.0
1550.4599999999996,1078.0
1550.4699999999996,1114.0
1550.4799999999996,1131.0
1550.4899999999996,1112.0
1550.4999999999995,1068.0
1550.5099999999995,1014.0
1550.5199999999995,956.0
1550.5299999999995,888.0
1550.5399999999995,831.0
1550.5499999999995,775.0
1550.5599999999995,740.0
1550.5699999999995,715.0
1550.5799999999995,688.0
1550.5899999999995,672.0
1550.5999999999995,657.0
1550.6099999999994,653.0
1550.6199999999994,642.0
1550.6299999999994,636.0
1550.6399999999994,629.0
1550.6499999999994,625.0
1550.6599999999994,625.0
1550.6699999999994,628.0
1550.6799999999994,622.0
1550.6899999999994,621.0
1550.6999999999994,620.0
1550.7099999999994,617.0
1550.7199999999993,616.0
1550.7299999999993,622.0
1550.7399999999993,618.0
1550.7499999999993,611.0
1550.7599999999993,614.0
1550.7699999999993,619.0
1550.7799999999993,619.0
1550.7899999999993,617.0
1550.7999999999993,617.0
1550.8099999999993,617.0
1550.8199999999993,617.0
1550.8299999999992,618.0
