wavelength_nm,PD1
1547.7,264.0
1547.7002,269.0
1547.7004,265.0
1547.7006,263.0
1547.7007999999998,271.0
1547.7009999999998,275.0
1547.7011999999997,266.0
1547.7013999999997,265.0
1547.7015999999996,275.0
1547.7017999999996,265.0
1547.7019999999995,274.0
1547.7021999999995,268.0
1547.7023999999994,282.0
1547.7025999999994,280.0
1547.7027999999993,278.0
1547.7029999999993,278.0
1547.7031999999992,281.0
1547.7033999999992,285.0
1547.7035999999991,291.0
1547.703799999999,288.0
1547.703999999999,289.0
1547.704199999999,293.0
1547.704399999999,297.0
1547.704599999999,299.0
1547.7047999999988,295.0
1547.7049999999988,294.0
1547.7051999999987,310.0
1547.7053999999987,310.0
1547.7055999999986,310.0
1547.7057999999986,313.0
1547.7059999999985,315.0
1547.7061999999985,324.0
1547.7063999999984,328.0
1547.7065999999984,319.0
1547.7067999999983,323.0
1547.7069999999983,332.0
1547.7071999999982,332.0
1547.7073999999982,333.0
1547.7075999999981,324.0
1547.707799999998,327.0
1547.707999999998,331.0
1547.708199999998,340.0
1547.708399999998,336.0
1547.708599999998,334.0
1547.7087999999978,333.0
1547.7089999999978,352.0
1547.7091999999977,355.0
1547.7093999999977,353.0
1547.7095999999976,346.0
1547.7097999999976,350.0
1547.7099999999975,369.0
1547.7101999999975,367.0
1547.7103999999974,358.0
1547.7105999999974,366.0
1547.7107999999973,369.0
1547.7109999999973,370.0
1547.7111999999972,364.0
1547.7113999999972,361.0
1547.7115999999971,372.0
1547.711799999997,374.0
1547.711999999997,371.0
1547.712199999997,364.0
1547.712399999997,371.0
1547.7125999999969,386.0
1547.7127999999968,386.0
1547.7129999999968,391.0
1547.7131999999967,387.0
1547.7133999999967,388.0
1547.7135999999966,392.0
1547.7137999999966,397.0
1547.7139999999965,396.0
1547.7141999999965,391.0
1547.7143999999964,397.0
1547.7145999999964,407.0
1547.7147999999963,411.0
1547.7149999999963,404.0
1547.7151999999962,413.0
1547.7153999999962,410.0
1547.7155999999961,419.0
1547.715799999996,434.0
1547.715999999996,420.0
1547.716199999996,413.0
1547.716399999996,413.0
1547.7165999999959,426.0
1547.7167999999958,441.0
1547.7169999999958,419.0
1547.7171999999957,429.0
1547.7173999999957,437.0
1547.7175999999956,435.0
1547.7177999999956,415.0
1547.7179999999955,422.0
1547.7181999999955,447.0
1547.7183999999954,448.0
1547.7185999999954,434.0
1547.7187999999953,438.0
1547.7189999999953,453.0
1547.7191999999952,471.0
1547.7193999999952,455.0
1547.7195999999951,452.0
1547.719799999995,448.0
1547.719999999995,456.0
1547.720199999995,475.0
1547.720399999995,472.0
1547.7205999999949,471.0
1547.7207999999948,468.0
1547.7209999999948,480.0
1547.7211999999947,503.0
1547.7213999999947,485.0
1547.7215999999946,487.0
1547.7217999999946,502.0
1547.7219999999945,511.0
1547.7221999999945,509.0
1547.7223999999944,521.0
1547.7225999999944,497.0
1547.7227999999943,527.0
1547.7229999999943,546.0
1547.7231999999942,534.0
1547.7233999999942,516.0
1547.7235999999941,529.0
1547.723799999994,536.0
1547.723999999994,558.0
1547.724199999994,557.0
1547.724399999994,533.0
1547.7245999999939,581.0
1547.7247999999938,574.0
1547.7249999999938,580.0
1547.7251999999937,558.0
1547.7253999999937,567.0
1547.7255999999936,591.0
1547.7257999999936,579.0
1547.7259999999935,585.0
1547.7261999999935,576.0
1547.7263999999934,596.0
1547.7265999999934,607.0
1547.7267999999933,601.0
1547.7269999999933,614.0
1547.7271999999932,615.0
1547.7273999999932,623.0
1547.7275999999931,621.0
1547.727799999993,628.0
1547.727999999993,637.0
1547.728199999993,622.0
1547.728399999993,644.0
1547.7285999999929,670.0
1547.7287999999928,651.0
1547.7289999999928,644.0
1547.7291999999927,655.0
1547.7293999999927,666.0
1547.7295999999926,676.0
1547.7297999999926,678.0
1547.7299999999925,670.0
1547.7301999999925,698.0
1547.7303999999924,667.0
1547.7305999999924,670.0
1547.7307999999923,695.0
1547.7309999999923,690.0
1547.7311999999922,694.0
1547.7313999999922,673.0
1547.731599999992,685.0
1547.731799999992,706.0
1547.731999999992,720.0
1547.732199999992,716.0
1547.732399999992,691.0
1547.7325999999919,721.0
1547.7327999999918,733.0
1547.7329999999918,741.0
1547.7331999999917,735.0
1547.7333999999917,720.0
1547.7335999999916,751.0
1547.7337999999916,770.0
1547.7339999999915,780.0
1547.7341999999915,745.0
1547.7343999999914,761.0
1547.7345999999914,797.0
1547.7347999999913,805.0
1547.7349999999913,782.0
1547.7351999999912,788.0
1547.7353999999912,823.0
1547.735599999991,846.0
1547.735799999991,834.0
1547.735999999991,816.0
1547.736199999991,842.0
1547.736399999991,893.0
1547.7365999999909,910.0
1547.7367999999908,906.0
1547.7369999999908,853.0
1547.7371999999907,882.0
1547.7373999999907,927.0
1547.7375999999906,934.0
1547.7377999999906,902.0
1547.7379999999905,906.0
1547.7381999999905,941.0
1547.7383999999904,953.0
1547.7385999999904,952.0
1547.7387999999903,945.0
1547.7389999999903,966.0
1547.7391999999902,958.0
1547.7393999999902,983.0
1547.73959999999,966.0
1547.73979999999,966.0
1547.73999999999,971.0
1547.74019999999,1016.0
1547.74039999999,997.0
1547.7405999999899,982.0
1547.7407999999898,1039.0
1547.7409999999898,1041.0
1547.7411999999897,1068.0
1547.7413999999897,1094.0
1547.7415999999896,1098.0
1547.7417999999896,1053.0
1547.7419999999895,1084.0
1547.7421999999895,1126.0
1547.7423999999894,1110.0
1547.7425999999894,1088.0
1547.7427999999893,1075.0
1547.7429999999893,1107.0
1547.7431999999892,1144.0
1547.7433999999892,1151.0
1547.743599999989,1107.0
1547.743799999989,1144.0
1547.743999999989,1153.0
1547.744199999989,1177.0
1547.744399999989,1140.0
1547.7445999999888,1176.0
1547.7447999999888,1239.0
1547.7449999999887,1165.0
1547.7451999999887,1175.0
1547.7453999999886,1207.0
1547.7455999999886,1235.0
1547.7457999999885,1221.0
1547.7459999999885,1237.0
1547.7461999999884,1189.0
1547.7463999999884,1242.0
1547.7465999999883,1314.0
1547.7467999999883,1268.0
1547.7469999999882,1251.0
1547.7471999999882,1245.0
1547.7473999999881,1293.0
1547.747599999988,1321.0
1547.747799999988,1297.0
