wavelength_nm,PD1
1547.7,1590.0
1547.701,1327.0
1547.702,1187.0
1547.703,1143.0
1547.704,1118.0
1547.705,1074.0
1547.706,1086.0
1547.7069999999999,1113.0
1547.7079999999999,1141.0
1547.7089999999998,1151.0
1547.7099999999998,1170.0
1547.7109999999998,1179.0
1547.7119999999998,1208.0
1547.7129999999997,1178.0
1547.7139999999997,1181.0
1547.7149999999997,1217.0
1547.7159999999997,1214.0
1547.7169999999996,1211.0
1547.7179999999996,1204.0
1547.7189999999996,1191.0
1547.7199999999996,1282.0
1547.7209999999995,1419.0
1547.7219999999995,1540.0
1547.7229999999995,1847.0
1547.7239999999995,2232.0
1547.7249999999995,2609.0
1547.7259999999994,3023.0
1547.7269999999994,3284.0
1547.7279999999994,3487.0
1547.7289999999994,3521.0
1547.7299999999993,3510.0
1547.7309999999993,3506.0
1547.7319999999993,3540.0
1547.7329999999993,3552.0
1547.7339999999992,3489.0
1547.7349999999992,3470.0
1547.7359999999992,3513.0
1547.7369999999992,3471.0
1547.7379999999991,3391.0
1547.7389999999991,3311.0
1547.739999999999,3163.0
1547.740999999999,3107.0
1547.741999999999,2706.0
1547.742999999999,2275.0
1547.743999999999,1793.0
1547.744999999999,2133.0
1547.745999999999,2765.0
1547.746999999999,2958.0
1547.747999999999,3198.0
1547.748999999999,3347.0
1547.7499999999989,3363.0
1547.7509999999988,3288.0
1547.7519999999988,3255.0
1547.7529999999988,3295.0
1547.7539999999988,3234.0
1547.7549999999987,3085.0
1547.7559999999987,3072.0
1547.7569999999987,3047.0
1547.7579999999987,2885.0
1547.7589999999987,2841.0
1547.7599999999986,2671.0
1547.7609999999986,2720.0
1547.7619999999986,2580.0
1547.7629999999986,2482.0
1547.7639999999985,2428.0
1547.7649999999985,2383.0
1547.7659999999985,2315.0
1547.7669999999985,2130.0
1547.7679999999984,2069.0
1547.7689999999984,2053.0
1547.7699999999984,1952.0
1547.7709999999984,1868.0
1547.7719999999983,1828.0
1547.7729999999983,1748.0
1547.7739999999983,1700.0
1547.7749999999983,1612.0
1547.7759999999982,1535.0
1547.7769999999982,1513.0
1547.7779999999982,1479.0
1547.7789999999982,1389.0
1547.7799999999982,1371.0
1547.7809999999981,1320.0
1547.781999999998,1296.0
1547.782999999998,1242.0
1547.783999999998,1213.0
1547.784999999998,1164.0
1547.785999999998,1149.0
1547.786999999998,1085.0
1547.787999999998,1066.0
1547.788999999998,1026.0
1547.789999999998,989.0
1547.790999999998,965.0
1547.7919999999979,967.0
1547.7929999999978,898.0
1547.7939999999978,867.0
1547.7949999999978,853.0
1547.7959999999978,813.0
1547.7969999999978,795.0
1547.7979999999977,774.0
1547.7989999999977,749.0
1547.7999999999977,735.0
1547.8009999999977,720.0
1547.8019999999976,690.0
1547.8029999999976,640.0
1547.8039999999976,658.0
1547.8049999999976,641.0
1547.8059999999975,630.0
1547.8069999999975,615.0
1547.8079999999975,611.0
1547.8089999999975,582.0
1547.8099999999974,561.0
1547.8109999999974,543.0
1547.8119999999974,545.0
1547.8129999999974,525.0
1547.8139999999973,506.0
1547.8149999999973,508.0
1547.8159999999973,491.0
1547.8169999999973,481.0
1547.8179999999973,477.0
1547.8189999999972,469.0
1547.8199999999972,468.0
1547.8209999999972,450.0
1547.8219999999972,439.0
1547.8229999999971,434.0
1547.823999999997,419.0
1547.824999999997,407.0
1547.825999999997,397.0
1547.826999999997,406.0
1547.827999999997,389.0
1547.828999999997,387.0
1547.829999999997,374.0
1547.830999999997,361.0
1547.831999999997,368.0
1547.832999999997,351.0
1547.8339999999969,349.0
1547.8349999999969,342.0
1547.8359999999968,339.0
1547.8369999999968,328.0
1547.8379999999968,320.0
1547.8389999999968,321.0
1547.8399999999967,313.0
1547.8409999999967,311.0
1547.8419999999967,302.0
1547.8429999999967,295.0
1547.8439999999966,298.0
1547.8449999999966,292.0
1547.8459999999966,282.0
1547.8469999999966,275.0
1547.8479999999965,279.0
1547.8489999999965,271.0
1547.8499999999965,270.0
1547.8509999999965,256.0
1547.8519999999965,258.0
1547.8529999999964,257.0
1547.8539999999964,254.0
1547.8549999999964,251.0
1547.8559999999964,246.0
1547.8569999999963,242.0
1547.8579999999963,233.0
1547.8589999999963,236.0
1547.8599999999963,231.0
1547.8609999999962,231.0
1547.8619999999962,229.0
1547.8629999999962,219.0
1547.8639999999962,215.0
1547.8649999999961,214.0
1547.8659999999961,215.0
1547.866999999996,205.0
1547.867999999996,209.0
1547.868999999996,211.0
1547.869999999996,203.0
1547.870999999996,201.0
1547.871999999996,192.0
1547.872999999996,193.0
1547.873999999996,197.0
1547.874999999996,189.0
1547.8759999999959,186.0
1547.8769999999959,188.0
1547.8779999999958,177.0
1547.8789999999958,187.0
1547.8799999999958,181.0
1547.8809999999958,179.0
1547.8819999999957,178.0
1547.8829999999957,174.0
1547.8839999999957,171.0
1547.8849999999957,175.0
1547.8859999999956,174.0
1547.8869999999956,166.0
1547.8879999999956,163.0
1547.8889999999956,165.0
1547.8899999999956,165.0
1547.8909999999955,156.0
1547.8919999999955,158.0
1547.8929999999955,149.0
1547.8939999999955,170.0
1547.8949999999954,157.0
1547.8959999999954,151.0
1547.8969999999954,149.0
1547.8979999999954,153.0
1547.8989999999953,154.0
1547.8999999999953,146.0
