wavelength_nm,PD3
1550.0,589.0
1550.01,590.0
1550.02,589.0
1550.03,591.0
1550.04,604.0
1550.05,621.0
1550.06,629.0
1550.07,772.0
1550.08,749.0
1550.09,623.0
1550.1,654.0
1550.11,622.0
1550.12,626.0
1550.1299999999999,1073.0
1550.1399999999999,627.0
1550.1499999999999,646.0
1550.1599999999999,679.0
1550.1699999999998,642.0
1550.1799999999998,651.0
1550.1899999999998,642.0
1550.1999999999998,894.0
1550.2099999999998,676.0
1550.2199999999998,629.0
1550.2299999999998,628.0
1550.2399999999998,623.0
1550.2499999999998,617.0
1550.2599999999998,611.0
1550.2699999999998,607.0
1550.2799999999997,600.0
1550.2899999999997,596.0
1550.2999999999997,602.0
1550.3099999999997,616.0
1550.3199999999997,625.0
1550.3299999999997,652.0
1550.3399999999997,683.0
1550.3499999999997,707.0
1550.3599999999997,741.0
1550.3699999999997,772.0
1550.3799999999997,802.0
1550.3899999999996,835.0
1550.3999999999996,866.0
1550.4099999999996,912.0
1550.4199999999996,971.0
1550.4299999999996,1020.0
1550.4399999999996,1054.0
1550.4499999999996,1094.0
1550.4599999999996,1130.0
1550.4699999999996,1152.0
1550.4799999999996,1153.0
1550.4899999999996,1129.0
1550.4999999999995,1092.0
1550.5099999999995,1049.0
1550.5199999999995,1006.0
1550.5299999999995,955.0
1550.5399999999995,894.0
1550.5499999999995,844.0
1550.5599999999995,802.0
1550.5699999999995,765.0
1550.5799999999995,734.0
1550.5899999999995,707.0
1550.5999999999995,686.0
1550.6099999999994,675.0
1550.6199999999994,661.0
1550.6299999999994,653.0
1550.6399999999994,646.0
1550.6499999999994,637.0
1550.6599999999994,642.0
1550.6699999999994,627.0
1550.6799999999994,626.0
1550.6899999999994,626.0
1550.6999999999994,620.0
1550.7099999999994,615.0
1550.7199999999993,616.0
1550.7299999999993,614.0
1550.7399999999993,614.0
1550.7499999999993,614.0
1550.7599999999993,604.0
1550.7699999999993,610.0
1550.7799999999993,608.0
1550.7899999999993,605.0
